"LocalityString"	"Drainage"	"Country"	"State"	"County"	"Continent"
S side of bridge between Little Lake Harris & Lake Harris; R25E T20S Sec. 24.	St. Johns River	United States of America	Florida	Lake	North America
Blue Sink Lake on S side of FL Hwy. 48; R25E T20S Sec. 21.	?	United States of America	Florida	Lake	North America
W side of bridge on St. Johns River at Astor.	St. Johns River	United States of America	Florida	Volusia	North America
NW tip of Lake Monroe near DeBary on US Hwy. 17, 92.	St. Johns River	United States of America	Florida	Seminole	North America
Cercy's Landing, Lake Griffin, 1.3 mi. off FL Hwy. 44; R25E T19S Sec. 9.	St. Johns River	United States of America	Florida	Lake	North America
Oklawaha River, S side of Lake Harris; R25E T20S Sec. 7.	St. Johns River	United States of America	Florida	Lake	North America
Oklawaha River, S side of Lake Harris; R25E T20S Sec. 16.	St. Johns River	United States of America	Florida	Lake	North America
E side of Lake Harris; R25E T20S Sec. 14.	St. Johns River	United States of America	Florida	Lake	North America
Little Lake Harris; R26E T20S Sec. 19.	St. Johns River	United States of America	Florida	Lake	North America
E side of Lake Harris; R25E T19S Sec. 35.	St. Johns River	United States of America	Florida	Lake	North America
Withlacoochee River at bridge on FL Hwy. 44 near Inverness.	Withlacoochee River	United States of America	Florida	Sumter	North America
Salt River, by bridge on FL Hwy. 494 approximately 4 mi. from jct. with FL Hwy. 55.	Gulf of Mexico	United States of America	Florida	Citrus	North America
N shore Lake Harris; R25E T19S Sec. 28.	St. Johns River	United States of America	Florida	Lake	North America
Side of Lake Wier at Eatons Beach.	?	United States of America	Florida	Marion	North America
W side of Silver Lake off FL Hwy. 44; R25E T19S Sec. 16.	Withlacoochee River	United States of America	Florida	Lake	North America
N shore Lake Eustis 0.7 mi. from jct. FL Hwy. 44 & FL Hwy. 19 on FL Hwy. 44.	St. John's River	United States of America	Florida	Lake	North America
S side Lake Yale at Lake Yale Fish Camp; R26E T18S Sec. 19.	St. Johns River	United States of America	Florida	Lake	North America
E side Lake Eustis; R26E T19E, Sec. 16.	St. Johns River	United States of America	Florida	Lake	North America
N shore Lake Harris; R25E T19S Sec. 32.	St. Johns River	United States of America	Florida	Lake	North America
Lake Harris, Helena Run Bridge approximately 5 mi. S of Leesburg on US Hwy. 27.	St. Johns River	United States of America	Florida	Lake	North America
N shore Lake Harris; R25E T19S Sec. 22.	St. Johns River	United States of America	Florida	Lake	North America
NE shore Lake Harris; R25E T19S Sec. 23.	St. Johns River	United States of America	Florida	Lake	North America
SW shore Lake Eustis; R26E T19S Sec. 19.	St. Johns River	United States of America	Florida	Lake	North America
Oklawaha River, Dora Canal, W city limits of Tavares, R26E T19S Sec. 29.	St. Johns River	United States of America	Florida	Lake	North America
Little Tennessee River at Tolivar Islands.	Tennessee River	United States of America	Tennessee	Loudon	North America
Little Tennessee River below Tellico Dam.	Tennessee River	United States of America	Tennessee	Loudon	North America
Little Tennessee River below Tellico Dam; Little Tennessee River Mile 0.5.	Tennessee River	United States of America	Tennessee	Loudon	North America
Elk River at islands about 0.25 mi. below Dry Brandi, about 6 mi. WSW of Fayetteville.	Tennessee River	United States of America	Tennessee	Lincoln	North America
Duck River river mile 225, Hite Ford.	Tennessee River	United States of America	Tennessee	Humphreys	North America
"9 mi. NNE Northport, Hwy 69."	Tombigbee River	United States of America	Alabama	Tuscaloosa	North America
Warrior River system 1 mi. W Altoona on hwy. running into Hwy. 74.	Tombigbee River	United States of America	Alabama	Etowah	North America
"7 mi. SW Suddards crossroads."	Tombigbee River	United States of America	Alabama	Fayette	North America
"0.5 mi. E Carbon Hills, Hwy. 78."	Tombigbee River	United States of America	Alabama	Walker	North America
Lost Creek, 4 mi. E Carbon Hill, Hwy. 78.	Tombigbee River	United States of America	Alabama	Walker	North America
"2.5 mi. SW Clereland."	Tombigbee River	United States of America	Alabama	Blount	North America
"2.5 mi. W Oneonta, Hwy. 38."	Tombigbee River	United States of America	Alabama	Blount	North America
Trisbum Creek, N Butler, Hwy. 17.	Tombigbee River	United States of America	Alabama	Choctaw	North America
Cahaba River, 2 mi. S Centerville.	Alabama River	United States of America	Alabama	Bibb	North America
Cahaba River just S Centerville.	Alabama River	United States of America	Alabama	Bibb	North America
Okatuppa Creek, 1.5 mi. N Gilbertown.	Tombigbee River	United States of America	Alabama	Choctaw	North America
Cheaha Creek at McElderry.	Alabama River	United States of America	Alabama	Talladega	North America
Cane Creek, 6 mi. N Anniston.	Alabama River	United States of America	Alabama	Calhoun	North America
Camp branch of Waxahatchee Creek, 5.5 mi. SW Columbiana.	Alabama River	United States of America	Alabama	Shelby	North America
S fork of Canoe Creek, 2 mi. SW Springville.	Alabama River	United States of America	Alabama	St. Clair	North America
Clear Creek at Vincent.	Alabama River	United States of America	Alabama	Shelby	North America
Fourmile Creek, 1.5 mi. N Wilsonville.	Alabama River	United States of America	Alabama	Shelby	North America
Beeswax Creek, 4.5 mi. NE Columbiana.	Alabama River	United States of America	Alabama	Shelby	North America
Yellowleaf Creek at Jumbo.	Alabama River	United States of America	Alabama	Chilton	North America
Pigeonroost Creek, 3.5 mi. NW Wetumpka.	Alabama River	United States of America	Alabama	Elmore	North America
Rio Maria Aguilar de la Cruz, San Jose.	Rio Grande de Tarcoles	Costa Rica	San Jose		North America
Rio Virilla just W San Jose, Pan American Hwy.	Rio Grande de Tarcoles	Costa Rica	San Jose		North America
Rio Sardinal along Camino Playa del Coco.	Rio Tempisque	Costa Rica	Guanacaste		North America
Pto. Limon a Tortuguero.	Atlantic Ocean	Costa Rica	Limon		North America
Golfo de Nicoya, en la Bahia al sur-oeste de la Isla de los Muertos.	Pacific Ocean	Costa Rica	Puntarenas		North America
Golfo de Nicoya, area of Veda.	Pacific Ocean	Costa Rica	Puntarenas		North America
Golfo de Nicoya, area of Veda.	Pacific Ocean	Costa Rica	Puntarenas		North America
Salt Lick Creek, trib. to Green River, 0.75 mi. S & 1 mi. E of Akersville Field.	Ohio River	United States of America	Kentucky	Monroe	North America
Salt Lick Creek, trib. to Green River, 0.75 mi. S & 1 mi. E of Akersville Field.	Mississippi River	United States of America	Kentucky	Monroe	North America
Salt Lick Creek, trib. to Green River, 0.75 mi. S & 1 mi. E of Akersville Field.	Mississippi River	United States of America	Kentucky	Monroe	North America
Obion River, trib. to Ohio River.	Mississippi River	United States of America	Kentucky	Hickman	North America
Salt Lick Creek, trib. to Green River, 0.75 mi. S & 1 mi. E of Akersville Field.	Mississippi River	United States of America	Kentucky	Monroe	North America
Sulfur Creek, 1 mi. E Colombia.	Mississippi River	United States of America	Kentucky	Adair	North America
Missouri River at Yankton.	Missouri River	United States of America	South Dakota	Yankton	North America
Lake Chichancanab, N end of North Pond.	Lake Chichancanab ?	Mexico	Quintana Roo		North America
Lake Chichancanab, lagoon on N side of road at Esmeralda.	Lake Chichancanab ?	Mexico	Quintana Roo		North America
Lake Chichancanab, lagoon on N side of road at Esmeralda.	Lake Chichancanab ?	Mexico	Quintana Roo		North America
Lake Ontario at Oswego; 25-30 fathoms.	Lake Ontario	United States of America	New York	Oswego	North America
Limestone Creek, Lake Texoma.	Red River	United States of America	Oklahoma	Marshall	North America
Gulf of Mexico, Chandeleur Islands, Redfish Point.	Gulf of Mexico	United States of America	Louisiana	St. Bernard	North America
Gulf of Mexico at Chandeleur Islands from oyster bed.	Gulf of Mexico	United States of America	Louisiana	St. Bernard	North America
Gulf of Mexico at Chandeleur Islands.	Gulf of Mexico	United States of America	Louisiana	St. Bernard	North America
Either Copaho or Aransas Bay.	Gulf of Mexico	United States of America	Texas	Aransas	North America
Tepic.	?	Mexico	Nayarit		North America
Mattawoman Creek.	Potomac River	United States of America	Maryland	Prince George-Charle	North America
Canal Zone: Rio Chagres, Gorgona.	Caribbean Sea	Panama			North America
Palouse River.	Snake River	United States of America	Idaho	Latah	North America
Silvies River.	Malheur Lake	United States of America	Oregon	Harney	North America
Fulton Ditch.	Unknown	United States of America	Washington		North America
Lake Washington at Seattle.	Puget Sound	United States of America	Washington	King	North America
Smiths Fork River.	Ohio River	United States of America	Wyoming	Uinata ?	North America
Smiths Fork River.	Colorado River	United States of America	Wyoming	Uinata ?	North America
Rio de Teapao, 15 mi. N of Teapa.	Rio Grijalva	Mexico	Tabasco		North America
Mississippi River at sandbar on upper end of St. Maurice towhead; River Mile 273.	Mississippi River	United States of America	Louisiana	Point Coupee	North America
Barataria Bay by Grand Terre Island.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Mississippi River at upper end of Fancy Point towhead (River Mile 258).	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at sandbar along W side of Fancy Point towhead.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
East shore of Mississippi River at mouth of small trib. at St. Maurice towhead.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Northshore of Lake Maggiore, St. Petersburg.	Gulf of Mexico ?	United States of America	Florida	Pinellas	North America
Tampa Bay at St. Petersburg.	Tampa Bay	United States of America	Florida	Pinellas	North America
Gulf of Mexico, Lat. 24-43'10'N to 24-52'00'N, Long. 82-00'00'W to 82-35'00'W.	Gulf of Mexico	United States of America			North America
South Fork St. Lucie River, W shore just N of Palm City.	Atlantic Ocean	United States of America	Florida	Martin	North America
Boar Creek at Bouqainvilla Avenue and 64th St., S St. Petersburg.	Tampa Bay	United States of America	Florida	Pinellas	North America
Ditch, just S 38th Avenue at 64th St., N St. Petersburg.	Tampa Bay	United States of America	Florida	Pinellas	North America
Roadside ditch between 34th & 38th Avenue at 64th St., N St. Petersburg.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Tampa Bay at foot of 15 to 16th Avenues S, St. Petersburg.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Estero Bay side, S end of Fort Myers Beach (Estero Island), Carlos Point, Big Carlos Pass.	Gulf of Mexico	United States of America	Florida	Lee	North America
Punta Rassa, beach across from Sanibel Light.	Gulf of Mexico	United States of America	Florida	Lee	North America
Indian (Bird) Key Lagoon, Boca Ciega Bay.	Tampa Bay	United States of America	Florida	Pinellas	North America
Tampa Bay at St. Petersburg.	Tampa Bay	United States of America	Florida	Pinellas	North America
Gulf of Mexico, from 22nd Avenue to lands end, Pass-a-Grille.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Boca Ciega Bay at Maximo Pt. Park, St. Petersburg.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Indian (Bird) Key Lagoon, Boca Ciega Bay.	Tampa Bay	United States of America	Florida	Pinellas	North America
Indian (Bird) Key Middleground, Boca Ciega Bay.	Tampa Bay	United States of America	Florida	Pinellas	North America
Bird Key Middleground, Boca Ciega Bay.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Gulf of Mexico at Pass-a-Grille.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Gulf of Mexico, about 8 mi. offshore between Indian Rock Springs and Clearwater, FL.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Maximo Point, Boca Ciega Bay, just N of O'Neill's Marina.	Tampa Bay	United States of America	Florida	Pinellas	North America
Gulf of Mexico, Lat. 24-41'N to 24-52'0''N between Long. 82 and 82-35'W.	Gulf of Mexico	United States of America	Florida	Monroe	North America
Cross Bayou Canal at bridge H 15-44 (1951) on Park Blvd.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Tampa Bay at foot of 19-20th Avenues South, St. Petersburg.	Tampa Bay	United States of America	Florida	Pinellas	North America
Maximo Point, Boca Ciega Bay, just N of O'Niel's Marina.	Tampa Bay	United States of America	Florida	Pinellas	North America
Cross Bayou Canal at Bridge H 15-44 (1951) on Park Blvd.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
"3 mi. W Caladesi Island."	Gulf of Mexico	United States of America	Florida	Pinellas	North America
St. Lucie River Inlet about 0.25 mi. up inlet.	St. Lucie River	United States of America	Florida	Martin	North America
St. Lucie River on Sewall's Point, NE Marker 19 & S of Causeway.	St. Lucie River	United States of America	Florida	Martin	North America
North fork, E shore, St. Lucie River just N North River Shores & Coconut Park.	St. Lucie River	United States of America	Florida	Martin	North America
W shore Indian River at Blair's Motel, Jenson Beach, FL.	Indian River	United States of America	Florida	Martin	North America
Indian River, W shore Sewall's Point, between markers 313 & 315 in coves of a fill.	Indian River	United States of America	Florida	Martin	North America
Gulf of Mexico, S of Egmont Key.	Gulf of Mexico	United States of America	Florida	Hillsborough	North America
White River 3 mi. up from Oil Trough Ferry.	White River	United States of America	Arkansas	Independence	North America
White River down 1 mi. from Cotter Launch.	White River	United States of America	Arkansas	Marion	North America
Little Buffalo River 250 yards from swing bridge.	White River	United States of America	Arkansas	Newton	North America
Shipps Ferry (8 mi. below mouth of Buffalo River), White River side; 0.25 mi. below dock.	White River	United States of America	Arkansas	Baxter	North America
"0.5 mi. below mouth of Buffalo River on left side of White River."	White River	United States of America	Arkansas	Baxter	North America
"400 yards below Bull Shoals Dam."	White River	United States of America	Arkansas	Marion	North America
Mississippi River at Belle Chasse on westbank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on westbank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on westbank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi river at Belle Chasse on westbank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi river at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at St. Francisville on eastbank near mouth of Thompson Creek	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank just upriver from Bois Point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi river at St. Francisville on westbank across from boat launch	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville at Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank, adjacent to Tunica Swamp outlet	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank across from industrial plant	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Lake Drummond, Dismal Swamp.	Lake Drummond	United States of America	Virginia	Norfolk	North America
Mississippi River at St. Francisville on east bank near mouth of Thompson Creek	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank near mouth of Thompson Creek	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank and just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank and jus upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank and just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on west bank across from boat lauch	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on west bank near English Turn in overflow pond	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at St. Francisville on east bank and just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank adjacent to ferry	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank across from industrial plant	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on east bank near mouth of Thompson Creek	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at Belle Chasse on west bank near English Turn near overflow pond	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on west bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on West bank near English Turn in overflow pond	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at St. Francisville on East bank across from industrial plant	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on East bank near mouth of Thompson Creek	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on East Bank at mouth of Tunica Swamp outlet	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville an East bank just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville at Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on East bank just upriver from Bois point	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at St. Francisville on West bank across from boat launch	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Mississippi River at Belle Chasse on West bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chansse on West bank near English Turn in overflow pond	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on West bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on West bank near English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Mississippi River at Belle Chasse on West bank near English Turn in overflow pond	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Blackwater River at jct. County Roads 643 & 737, 2.5 air mi. ENE Gallaway.	Roanoke River	United States of America	Virginia	Franklin	North America
"0.5 mi. down from dam on right side of White River at Batesville."	White River	United States of America	Arkansas	Independence	North America
White River 1 mi. downstream on right from Trout Dock at Cotter.	White River	United States of America	Arkansas	Marion	North America
Pacific Ocean along Belmont Shores, Long Beach.	Pacific Ocean	United States of America	California	Los Angeles	North America
Gulf of California, W of Yavaros.	Gulf of California	Mexico	Sonora		North America
Choctawhatchee Bay at Live Oak Point (LP-2).	Gulf of Mexico	United States of America	Florida	Walton	North America
South Homing Creek.	?	United States of America	North Carolina		North America
Harvey Twp., Nogies Creek, 8-12' depth.	Lake Ontario	Canada	Ontario	Peterborough	North America
Rose Lake, T7S R6W Secs. 17, 18, 19 & 20.	Lake Michigan	United States of America	Michigan	Branch	North America
Kannah Creek; T13S R98W Sec. 12.	Colorado River	United States of America	Colorado	Mesa	North America
Reservoir on Wildcat Creek.	San Pablo Bay	United States of America	California	Contra Costa	North America
Clear Lake, upper part of Galveston Bay.	Gulf of Mexico	United States of America	Texas	Chambers ?	North America
Brownies Creek along KY Hwy. 987, 8.5km E of Cubage.	Cumberland River	United States of America	Kentucky	Bell	North America
Brownies Creek along KY Hwy. 987, 8.5km E of Cubage.	Cumberland River	United States of America	Kentucky	Bell	North America
Spring seep trib. to Reed Creek, unnumbered county road, 5 mi. E of TN 73 (Walland).	Little River	United States of America	Tennessee	Blount	North America
Archers Creek at Cumberland Falls Road, 5.4km W of KY Hwy. 204.	Cumberland River	United States of America	Kentucky	Whitley	North America
Youngs Creek at gravel road, 0.8km W US Hwy. 25W, 10.7 air km NW Williamsburg.	Cumberland River	United States of America	Kentucky	Whitley	North America
Cal Creek at Route 592, 3.2km E of Pine Knot.	Cumberland River	United States of America	Kentucky	McCreary	North America
"18 mi. ESE Cape Lookout, N.C."	Atlantic Ocean	United States of America	North Carolina	Carteret-Palmico ?	North America
"10 mi. E 'D' buoy Cape Lookout Shoals, 20 fathoms."	Atlantic Ocean	United States of America	North Carolina	Palmico-Carteret ?	North America
Northwest Bay Brook.	Atlantic Ocean	United States of America	New York	Nassau	North America
Atlantic Ocean, 20 mi. E Cape Lookout Shoals, 20 fathoms.	Atlantic Ocean	United States of America	North Carolina	Palmico-Carteret ?	North America
Between Cape Hatteras and Oracoke Inlet , 13 fathoms.	Atlantic Ocean	United States of America	North Carolina	Dare-Hyde	North America
Atlantic Ocean, 10 mi. E Knuckle Buoy, Cape Lookout.	Atlantic Ocean	United States of America	North Carolina	Carteret-Palmico ?	North America
Black Bayou, a trib. of Caster Bayou, US Hwy. 165.	Red River	United States of America	Louisiana	Caldwell	North America
Barrow near Black Bayou, Kelly, LA, US Hwy. 165.	Red River ?	United States of America	Louisiana	Caldwell	North America
Black Bayou, trib. to Caster Bayou, US Hwy. 165 near Kelly.	Red River ?	United States of America	Louisiana	Caldwell	North America
Borrow pit near Kelly, Hwy. 165.	Red River	United States of America	Louisiana	Caldwell	North America
Black Bayou, trib. to Castor Bayou near Kelly, Hwy. 165.	Red River	United States of America	Louisiana	Caldwell	North America
Black Bayou at US Hwy. 165 near Kelly.	Red River	United States of America	Louisiana	Caldwell	North America
Torrey Pines Park.	Pacific Ocean	United States of America	California	San Diego	North America
Bird Rock, La Jolla, city of San Diego.	Pacific Ocean	United States of America	California	San Diego	North America
San Felipe.	Pacific Ocean	Mexico	Baja California Nor.		North America
Mission Bay.	Pacific Ocean	United States of America	California	San Diego	North America
Santo Tomas.	Pacific Ocean	Mexico	Baja California Nor.		North America
Rice ditch, 3.3 air mi. NE of Pace.	Yazoo River	United States of America	Mississippi	Bolivar	North America
Mississippi River.	Mississippi River	United States of America	Mississippi		North America
Big Black River.	Big Black River	United States of America	Mississippi	Holmes	North America
Enid Reservoir (Yacona River) W of Water Valley.	Yazoo River	United States of America	Mississippi	Yalobusha	North America
Biloxi Bay at pier at Gulf Coast Research Lab at Ocean Springs.	Gulf of Mexico	United States of America	Mississippi	Jackson	North America
Bar pit, Hunington Point Hunting Club.	Mississippi River	United States of America	Mississippi	Washington	North America
Rice ditch, 3.3 mi. NE of Pace.	Yazoo River	United States of America	Mississippi	Bolivar	North America
Punchback Lake, trib. to Tchula Lake, about 1.7 air mi. SSE of Cruger.	Yazoo River	United States of America	Mississippi	Holmes	North America
Old River Lake.	Mississippi River ?	United States of America	Mississippi	Bolivar	North America
Bogue Phalia & slough 3.9 air mi. W of Skene.	Yazoo River	United States of America	Mississippi	Bolivar	North America
Rice ditch, 3.0 mi. WNW of Cleveland, Old Pace Road.	Yazoo River	United States of America	Mississippi	Bolivar	North America
Creek 1.2 mi. S on Hwy. 57 from Bluff Creek bridge near Van Cleave.	Pascagoula River	United States of America	Mississippi	Jackson	North America
Unspecified body of water, 1.8 mi. NNE of Pace.	Yazoo River	United States of America	Mississippi	Bolivar	North America
Legion Lake S of Rosedale.	Mississippi River	United States of America	Mississippi	Bolivar	North America
Trib. to Saucier Creek, trib. to Biloxi River, 1.0 air mi. E of Saucier, Hwy. 67.	Biloxi River	United States of America	Mississippi	Harrison	North America
Sardis Reservoir (Tallahatchie River) ca. 11.7 air mi. NW of Oxford	Yazoo River	United States of America	Mississippi	Lafayette	North America
Lake Whittington (Benoit Lake), 2.0 mi. W of Benoit.	Mississippi River	United States of America	Mississippi	Bolivar	North America
Albemarle Lake, trib. to Chotard Lake, trib. to Mississippi River, 7.5 air mi. S of Fitler.	Mississippi River	United States of America	Mississippi	Issaquena	North America
Macon (Moon ?) Lake, trib. to Bear Creek, 6.7 air mi. S of Moorehead.	Yazoo River	United States of America	Mississippi	Sunflower	North America
Bogue Phalia River, 9.2 air mi. WSW of Cleveland, Hwy. 446.	Yazoo River	United States of America	Mississippi	Bolivar	North America
Hubbard Creek, trib. to Tippo Bayou SW of Charleston.	Yazoo River	United States of America	Mississippi	Tallahatchie	North America
Enid Reservoir (Yacona River), 5.5 air mi. W of Water Valley.	Yazoo River	United States of America	Mississippi	Yalobusha	North America
Chotard Lake trib. to Mississippi River 1.0 air mi. N of Brunswick, along Hwy. 465.	Mississippi River	United States of America	Mississippi	Warren	North America
Slough of Tallahatchie River, just E of Philipp, Hwy. 8	Yazoo River	United States of America	Mississippi	Tallahatchie	North America
Unnamed creek at Camp Castalian Springs 3.0 air mi. W of Durant, County Hwy.	Big Black River	United States of America	Mississippi	Holmes	North America
Hampton Lake, about 3.0 air mi. E Glendora.	Yazoo River	United States of America	Mississippi	Tallahatchie	North America
Yazoo River at jct. with Tchula Lake, 3.2 air mi. WSW of Cruger.	Yazoo River	United States of America	Mississippi	Holmes	North America
Steele Bayou, just below Lake Washington Dam, 2.0 air mi. SW of Glenn Allan.	Yazoo River	United States of America	Mississippi	Washington	North America
Roebuck Lake, trib. to Yazoo River, near Itta Bena.	Yazoo River	United States of America	Mississippi	Leflore	North America
Lake Shelby, trib. to Wolfs Creek, (trib. to Chaney Creek, trib. to Black Creek), about 6.5 air mi. NNW Brooklyn.	Pascagoula River	United States of America	Mississippi	Forrest	North America
Lake Mary, about 14.7 air mi. NW of Woodville.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Bogue Phalia River, 9.2 air mi. WSW of Cleveland, Hwy. 446.	Yazoo River	United States of America	Mississippi	Bolivar	North America
Coldwater River-Island Lake.	Yazoo River	United States of America	Mississippi	Quitman	North America
Okatoma Creek at Mount Olive.	Pascagoula River	United States of America	Mississippi	Covington	North America
Coldwater River, 4.7 air mi. N of Byhalia.	Yazoo River	United States of America	Mississippi	Marshall	North America
Southshore.	Pacific Ocean	United States of America	Hawaii	Maui	Pacific Ocean
Maui, southshore.	Pacific Ocean	United States of America	Hawaii	Maui	Pacific Ocean
Pupukea.	Pacific Ocean	United States of America	Hawaii	Oahu	Pacific Ocean
Apalachicola River below Jim Woodruff Dam.	Apalachicola River	United States of America	Florida	Gadsden	North America
Mississippi River levee, Mile Post 110.9, westbank.	Mississippi River	United States of America	Louisiana	Jefferson	North America
Bonnet Carre Spillway near Norco.	Mississippi River	United States of America	Louisiana	St. Charles	North America
Bonnet Carre Spillway near Norco.	Mississippi River	United States of America	Louisiana	St. Charles	North America
Lake Pontchartrain at Industrial Canal between boat ramp & mouth of canal.	Gulf of Mexico	United States of America	Louisiana	Orleans	North America
Little Cypress Bayou at Route 3001, about 5 mi. NW of Marshall.	Red River	United States of America	Texas	Harrison	North America
Little Cypress Bayou at Hwy. 154.	Red River	United States of America	Texas	Harrison	North America
Musungan Lake.	St. John's River	United States of America	Maine	Aroostook	North America
Sisters River between mouths of Big Sister and Little Sister Rivers.	Choctawhatchee River	United States of America	Florida	Walton	North America
Pools below Lake Warner dam or N Hadley ponds.	Connecticut River	United States of America	Massachusetts	Hampshire	North America
Cienega Creek at Cienega Ranch.	Colorado River	United States of America	Arizona	Pima	North America
White River at Hammond Camp; T24N R11W Sec. 15.	White River	United States of America	Missouri	Ozark	North America
Rio Sauz, 12 mi. N & 3 mi. E of El Sauz turnoff (Hwy. 45).	Rio Sauz	Mexico	Chihuahua		North America
East shore Mississippi River at LSU station 101; RM 262.3.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Comite River at LA Hwy. 67.	Lake Ponchartrain	United States of America	Louisiana	East Feliciana	North America
West Fork Thompson Creek at Harris Corner Road, 2 mi. E of US Hwy. 61 at Laurel Hill.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
East shore Mississippi River at LSU station 101; RM 262.3 (isolated pond in cove).	Mississippi River	United States of America	Louisiana	West Feliciana	North America
East shore Mississippi River at LSU station 101; RM 262.3 (outer cove).	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Comite River at LA Hwy. 67 bridge.	Lake Ponchartrain	United States of America	Louisiana	East Feliciana	North America
Mouth of Thompson Creek.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
